rank,name,anime,favorites,url,description,Age,Birthday,Nationality,Height,Occupation,image
11,Guts(ガッツ),Kenpuu Denki BerserkBerserk: Ougon Jidai-hen I - Haou no TamagoBerserk: Ougon Jidai-hen II - Doldrey Kouryaku,84229,https://myanimelist.net/character/422/Guts,Error processing https://myanimelist.net/character/422/Guts: 'src',,,,,,https://cdn.myanimelist.net/images/characters/13/284125.jpg
12,"Sakata, Gintoki(坂田 銀時)",GintamaGintama: Nanigoto mo Saisho ga Kanjin nanode Tashou Senobisuru Kurai ga ChoudoyoiGintama: Shiroyasha Koutan,74974,https://myanimelist.net/character/672/Gintoki_Sakata,"Age: 27, 29 (2 years arc) 
 Birthday: October 10 (Libra) 
 Height: 177 cm 
 Weight: 65 kg 
 Likes: sweets, alcohol, Shounen Jump, strawberry milk, pachinko 
 Dislikes: ghosts, horror stuff 
 Favorite quote: ""Then and now, what I protect has never changed."" 
 Occupation: Yorozuya/Odd Jobs 
  
 Gintoki is a samurai living in an era when samurai are no longer needed. To add to his troubles, oppressive aliens have moved in to invade planet Earth. Gintoki works taking on odd jobs alongside two kids: Kagura and Shinpachi. In the Joui war, he was known as the ""White Devil"" (Shiroyasha) due to his silver hair and white clothing he wore in battle, which, combined with his impressive capabilities as a swordsman, made him famous among his comrades and struck fear in the hearts of the Amanto. 
  
 Gintoki has naturally permed silver hair, which he blames for his lacking love-life. He has a big crush on the TV's news weather girl, Ketsuno. In fact, to date, the only time he is seen to have blushed is when he tries to make use of Sadaharu and Ketsuno's dog to get a chance to talk to her.(Though he later does with Tsukuyo as well when she discovers him shopping) Though several female characters have shown an interest in Gintoki, he usually does not show any response and merely puts up with them as annoyances. 
  
 Gintoki has two major obsessions in life. He is obsessed with sweet food such as parfaits, ice cream and cakes. His second obsession is reading the manga anthology magazine Weekly Shounen Jump. (Which, not coincidentally, is where Gintama is published). Gintoki will go to great lengths to get the latest Jump issue, to the point of reckless behavior. His Jump obsession makes him dream of being like other Jump heroes, including wishing that he had a ""Bankai"" similar to the characters of Bleach. 
  
 Despite his appearance and initial behavior, Gintoki has a great amount of pride for the old bushido code. He takes it upon himself to rescue or avenge not only his comrades and friends but also people he's barely acquainted with, be it a pit-fighter who was taking care of abandoned orphans or an Amanto who resembles a kappa. 
  
 Despite being a fearsome fighter with nearly unmatched skills, he avoids needless bloodshed after suffering the loss of most of his friends and allies during the Joui war. 
  
 (Source: Wikipedia, VS Battles Wiki, edited) 
 
   Voice Actors  Sugita, TomokazuJapanese  Patton, ChrisEnglish  Tomatsu, HarukaJapanese  Yaguchi, AsamiJapanese  Guadagno, MarcoItalian  Barrero, JesúsSpanish  Martínez, AlfredoSpanish  Gu, Ja hyeongKorean  Tavares, ArnaldoPortuguese (BR)  Yonezawa, MadokaJapanese  Weigert, JacobGerman  Daingerfield, MichaelEnglish  Pitre, SabrinaEnglish  Viola, FedericoItalian  López, ÓscarSpanish  Magnaghi, DeboraItalian  Muzzi, JulioPortuguese (BR)  Vilchis, José GilbertoSpanish  
 
 See MoreRecent Featured Articles 18 of the Funniest Anime Faces EverSome characters are funny because of all the crazy antics they get up to. But others just have the right kind of physiognomy, which make them prone to pulling off some funny anime faces - intentionally or unintentionally.byMisterD98846,608viewsCollectionFunnyTop 14 Anime That Will Make You HappyBeen watching too much Berserk? Need something to brighten your day? Give one of these shows a whirl! Every anime on this list is guaranteed to put a smile on your face, even if you've just watched Grave of the Fireflies.byJankenpopp692,462viewsRecommendationCollectionFunnyHeart-warming 
   $(window).on('load', function(){
        $('#myanimelist .character-anime + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Anime List! No sign up required.</p>'
        });
        $('#myanimelist .character-manga + table .Lightbox_AddEdit:first').malTooltip({
            position: 'left',
            header: 'Get started',
            body: '<p>Try making your own Manga List! No sign up required.</p>'
        });
    });","27, 29 (2 years arc)",,,177 cm,Yorozuya/Odd Jobs,https://cdn.myanimelist.net/images/characters/15/241479.jpg
13,"Yeager, Eren(エレン・イェーガー)",Shingeki no KyojinShingeki no Kyojin OVAShingeki no Kyojin: Ano Hi Kara,72326,https://myanimelist.net/character/40882/Eren_Yeager,Error processing https://myanimelist.net/character/40882/Eren_Yeager: 'src',,,,,,Error processing https://myanimelist.net/character/40882/Eren_Yeager: 'src'
14,"Makise, Kurisu(牧瀬 紅莉栖)",Steins;GateSteins;Gate: Oukoubakko no PoriomaniaSteins;Gate Movie: Fuka Ryouiki no Déjà vu,66793,https://myanimelist.net/character/34470/Kurisu_Makise,"Age: 18 
 Birthdate: July 25 (Leo) 
 Blood type: A 
 Height: 160 cm 
 Weight: 45 kg 
  
 The female protagonist. Makise Kurisu is a research member in Victor Qondria University's Brain Research Program. Her age group matches that of third-year high schoolers, but she skipped a grade through America's educational system. She is also famous in America for writing theses papers, part of which is covered in the news. Thanks to skipping a grade in America as a girl, she was envied by people around her, and ended up building a strong personality. She does not want to show weakness to others, so she always has a stern expression. However, she is very curious, and when she builds interest, she pokes into things. Occasionally, she has views that differ from regular opinions, such as, ""The experiment data is more important than the subject's privacy."" Rintarou often tells her, ""Hey, you've got a pretty good sense of being a Mad Scientist,"" but she is not one to agree to such things personally. She is a tsundere. 
  
 Rintarou has given her plenty of nicknames, in particular ""Christina"" (クリスティーナ) and ""Assistant"" (助手).",18,July 25 (Leo),,160 cm,,https://cdn.myanimelist.net/images/characters/12/492885.jpg
15,"Uchiha, Itachi(うちは イタチ)",Naruto: Shippuuden - Sunny Side BattleNarutoNaruto: Shippuuden,66357,https://myanimelist.net/character/14/Itachi_Uchiha,"Age: 17-18 (I); 21 (II) 
 Birthday: June 9th (Gemini) 
 Height: 175 cm (I); 178 cm (II) 
 Weight: 57 kg (I); 58 kg (II) 
 Blood Type: AB 
 Nature Type: Fire and Water 
 From: Konohagakure (Leaf) 
 Rank: S-class Missing-Nin 
 Registered Ninja #: 012110 
 Affiliation: Akatsuki 
 Ring: Shu (Red) 
 Finger Position: Right Ring 
 Partner: Hoshigaki Kisame 
 Favorite Foods: Rice balls (kelp), cabbage, Dango 
 Least Favorite Foods: Steak 
 Hobby: Visiting traditional Japanese cafés 
 First Manga Appearance: Ch. 139 
 First Anime Appearance: Ep. 80 
 Assignments Completed: 53 D-Rank, 152 C-Rank, 134 B-Rank, 0 A-Rank, 1 S-Rank 
 Famous Quote: Foolish little brother, if you wish to kill me, hate me, detest me, and survive in an unsightly way. Run, run and cling to life. 
  
 Background: 
 Itachi Uchiha is a missing-nin from Konohagakure, and a prominent member of Akatsuki, partnered with Kisame Hoshigaki. He is Sasuke Uchiha's older brother. 
  
 Itachi is relatively popular among many fans of Naruto, often having ranked in the top ten in Shonen Jump magazine's popularity polls since his introduction. He was first ranked in the third character popularity poll ranked in 11th place. He was ranked 9th place during the fourth popularity poll, and 6th place in the fifth popularity poll. During the sixth popularity poll, he again was ranked in 11th place. In the last poll, he was ranked in 5th place. 
  
 Itachi was born into the Uchiha clan and was praised by all as the best of his generation - a genius above all others. Even by the standards of the battle-adept Uchiha clan, Itachi's prowess far outshined all others. However, not even his family, friends, or teachers could understand him. When he was only 4, Itachi had already witnessed countless lives lost due to the Third Great Shinobi World War, which emotionally traumatized him and turned him into a pacifist. At age 7, he graduated from the Ninja Academy at the top of his class after only one year, mastered the Sharingan at age 8, passed the Chunin Exams at age 10, and became ANBU Captain at age 13. According to Madara Uchiha, Itachi also had a lover, whom he killed during the Uchiha clan massacre. 
  
 He was praised highly by his father, who saw the family's future in Itachi, hence neglecting his other son - Itachi's younger brother, Sasuke. However, during this time Itachi showed great affection towards his little brother, Sasuke, and even encouraged his father to come to the Academy when Sasuke was enrolled, something their dad had otherwise forgotten, by saying that he would not go to an important mission, that would establish Itachi a place in the ANBU ranks, otherwise.",17-18 (I); 21 (II),,,175 cm (I); 178 cm (II),,Error processing https://myanimelist.net/character/14/Itachi_Uchiha: 'src'
16,"Gojou, Satoru(五条 悟)",Jujutsu Kaisen Official PVsJujutsu KaisenJujutsu Kaisen 0 Movie,62202,https://myanimelist.net/character/164471/Satoru_Gojou,Error processing https://myanimelist.net/character/164471/Satoru_Gojou: 'src',,,,,,https://cdn.myanimelist.net/images/characters/15/422168.jpg
17,"Ackerman, Mikasa(ミカサ・アッカーマン)",Shingeki no KyojinShingeki no Kyojin: Ano Hi KaraShingeki no Kyojin Picture Drama,55707,https://myanimelist.net/character/40881/Mikasa_Ackerman,"Age: 15,","15,",,,,,https://cdn.myanimelist.net/images/characters/9/215563.jpg
18,"Kaneki, Ken(金木 研)",Tokyo GhoulTokyo Ghoul √ATokyo Ghoul:re,52944,https://myanimelist.net/character/87275/Ken_Kaneki,"Age: 18 (Pre-Aogiri), 19 (Post-Aogiri),","18 (Pre-Aogiri), 19 (Post-Aogiri),",,,,,https://cdn.myanimelist.net/images/characters/15/307255.jpg
19,"Hikigaya, Hachiman(比企谷 八幡)",Yahari Ore no Seishun Love Comedy wa Machigatteiru.Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVAYahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,52267,https://myanimelist.net/character/67065/Hachiman_Hikigaya,Error processing https://myanimelist.net/character/67065/Hachiman_Hikigaya: 'src',,,,,,Error processing https://myanimelist.net/character/67065/Hachiman_Hikigaya: 'src'
20,"Hatake, Kakashi(はたけ カカシ)",NarutoNaruto Movie 1: Dai Katsugeki!! Yuki Hime Ninpouchou Dattebayo!Naruto: Akaki Yotsuba no Clover wo Sagase,48220,https://myanimelist.net/character/85/Kakashi_Hatake,Error processing https://myanimelist.net/character/85/Kakashi_Hatake: 'src',,,,,,https://cdn.myanimelist.net/images/characters/7/284129.jpg
21,Saitama(サイタマ),One Punch ManOne Punch Man: Road to HeroOne Punch Man Specials,47951,https://myanimelist.net/character/73935/Saitama,"Race: Human 
 Age: 25 
 Height: 175 cm (5'9"") 
 Weight: 70 kg (154 lbs) 
 Location: Z-City 
 Abilities: Immeasurable Strength, Immeasurable Speed and Reflexes, Infinite Stamina, Supernatural Senses, Invulnerability, Indomitable Will 
 Occupation: Superhero 
 Level:",25,,,"175 cm (5'9"")",Superhero,https://cdn.myanimelist.net/images/characters/11/294388.jpg
